0,không
1,một
2,hai
3,ba
4,bốn
5,năm
6,sáu
7,bảy
8,tám
9,chín
10,mười
11,mười một
12,mười hai
13,mười ba
14,mười bốn
15,mười lăm
16,mười sáu
17,mười bảy
18,mười tám
19,mười chín
20,hai mươi
21,hai mươi mốt
22,hai mươi hai
23,hai mươi ba
24,hai mươi bốn
25,hai mươi lăm
26,hai mươi sáu
27,hai mươi bảy
28,hai mươi tám
29,hai mươi chín
30,ba mươi
31,ba mươi mốt
32,ba mươi hai
33,ba mươi ba
34,ba mươi bốn
35,ba mươi năm
36,ba mươi sáu
37,ba mươi bảy
38,ba mươi tám
39,ba mươi chín
40,bốn mươi
41,bốn mươi mốt
42,bốn mươi hai
43,bốn mươi ba
44,bốn mươi bốn
45,bốn mươi lăm
46,bốn mươi sáu
47,bốn mươi bảy
48,bốn mươi tám
49,bốn mươi chín
50,năm mươi
51,năm mươi mốt
52,năm mươi hai
53,năm mươi ba
54,năm mươi bốn
55,năm mươi lăm
56,năm mươi sáu
57,năm mươi bảy
58,năm mươi tám
59,năm mươi chín
60,sáu mươi
61,sáu mươi mốt
62,sáu mươi hai
63,sáu mươi ba
64,sáu mươi bốn
65,sáu mươi lăm
66,sáu mươi sáu
67,sáu mươi bảy
68,sáu mươi tám
69,sáu mươi chín
70,bảy mươi
71,bảy mươi mốt
72,bảy mươi hai
73,bảy mươi ba
74,bảy mươi bốn
75,bảy mươi lăm
76,bảy mươi sáu
77,bảy mươi bảy
78,bảy mươi tám
79,bảy mươi chín
80,tám mươi
81,tám mươi mốt
82,tám mươi hai
83,tám mươi ba
84,tám mươi bốn
85,tám mươi lăm
86,tám mươi sáu
87,tám mươi bảy
88,tám mươi tám
89,tám mươi chín
90,chín mươi
91,chín mươi mốt
92,chín mươi hai
93,chín mươi ba
94,chín mươi bốn
95,chín mươi lăm
96,chín mươi sáu
97,chín mươi bảy
98,chín mươi tám
99,chín mươi chín
100,hundred
1000,thousand
1000000,million
1000000000,billion
